Team Name,Goalspg,Shotspg,yellowcardpg,redcardpg,Posseion%,PassAcc,AerialsWonpg,Shotedpg,Tacklespg,Interceptionpg,Foulspg,Offsidepg,ShotsOTpg,Dribblespg,Fouledpg,Rank
Manchester City,1.736842105,17.3,1.631578947,0.0789473684,56,84.6,15.8,10.4,17.9,12.9,12.4,2,6.1,7.7,9.2,2
Everton,1.394736842,16.7,1.552631579,0.0789473684,51.9,79,18.6,11.9,18.9,15.6,11.7,2.6,5.4,5.3,13.1,6
Swansea,1.263157895,13.3,1.526315789,0.0526315789,54.4,84.4,12.9,14.9,18,18.3,10.8,2.3,4.4,5.2,11,9
Fulham,1.184210526,12.1,1.263157895,0.0789473684,49.6,81.4,15.3,16.8,17.9,19.6,10.9,1.9,4.2,6.2,10.8,12
Aston Villa,1.394736842,11.5,1.868421053,0.0789473684,47.1,77.2,18.9,16.7,19.4,20.3,12,2.6,3.7,6.6,9.1,15
Southampton,1.342105263,13.6,1.131578947,0.0526315789,52.2,77.3,16.4,11.8,21.6,20.5,10.8,2.3,4.4,6.3,9.4,14
West Ham,1.184210526,13,1.947368421,0.0263157895,45.1,73.6,21.1,16.4,19.2,12.1,12.4,2.2,4.2,5,9.6,10
Sunderland,1.105263158,11,1.605263158,0.0789473684,44.7,75.2,17.1,16.7,20.6,15.3,12,1.8,3.7,6.2,12.1,17
Queens Park Rangers,0.894736842,13.2,1.552631579,0.0789473684,46.9,76.2,15.3,15.8,21.5,17.4,10.7,2.8,3.9,9.2,11.4,20
Newcastle United,1.184210526,14,1.868421053,0.105263158,49.3,79.1,18.1,13.4,19.2,12.5,12.3,2.2,4.6,8.9,10.6,16
Stoke,0.973684211,10.3,2.026315789,0.105263158,44.5,69.9,28.9,14.3,19.1,13.2,12.8,1.9,3,4.2,9.4,13
West Bromwich Albion,1.394736842,13.3,1.657894737,0.105263158,46.3,77.7,15.7,15.6,18.4,9.9,11.5,2.6,4.5,5.5,10.3,8
Wigan,1.263157895,13.2,1.763157895,0.0526315789,52.9,82.1,10.3,14,18.7,18.3,11.9,2.2,4.5,7,11.6,18
Norwich,1.078947368,10.9,1.578947368,0.0263157895,44.4,73,17,14.1,17.8,14.2,11.5,2.6,3.5,4.8,10.5,11
Reading,1.078947368,10.3,1.184210526,0.0263157895,42.8,69.2,18.4,18.6,15.8,14.7,10.4,2.1,3.4,4.4,11.3,19
